Date,Open,Close,Volume,days,Buy_Sell
2010-01-04,78.199997,79.059998,10173800,0,1
2010-01-05,79.220001,79.620003,10593700,1,1
2010-01-06,79.440002,79.629997,11014600,2,0
2010-01-07,79.360001,79.330002,9626900,3,1
2010-01-08,79.120003,79.470001,5624300,4,1
2010-01-11,80.169998,80.879997,11916800,7,0
2010-01-12,79.519997,80.410004,12175200,8,0
2010-01-13,80.269997,79.800003,10842200,9,0
2010-01-14,79.629997,79.550003,6721000,10,0
2010-01-15,79.540001,79.230003,13482300,11,1
2010-01-19,78.959999,79.68,8722200,15,0
2010-01-20,78.709999,78.150002,8703800,16,0
2010-01-21,78.150002,76.239998,12573200,17,0
2010-01-22,75.980003,74.589996,13825000,18,0
2010-01-25,75.150002,74.550003,9129700,21,0
2010-01-26,74.080002,74.150002,10558200,22,0
2010-01-27,73.940002,73.699997,13373200,23,0
2010-01-28,73.970001,73.239998,12828800,24,0
2010-01-29,73.529999,72.120003,15265600,25,1
2010-02-01,72.699997,73.580002,11828500,28,1
2010-02-02,73.739998,74.449997,12947600,29,0
2010-02-03,74.18,73.209999,14540300,30,0
2010-02-04,72.559998,71.370003,15248400,31,0
2010-02-05,71.0,71.18,17307000,32,0
2010-02-08,71.239998,70.129997,11595600,35,1
2010-02-09,70.889999,71.309998,13051900,36,0
2010-02-10,71.019997,70.75,11618700,37,1
2010-02-11,70.720001,71.730003,11273800,38,0
2010-02-12,70.540001,71.010002,13809100,39,1
2010-02-16,71.989998,72.989998,14230800,43,0
2010-02-17,73.220001,72.839996,8728000,44,1
2010-02-18,72.690002,73.620003,9848000,45,1
2010-02-19,73.440002,74.050003,13113200,46,0
2010-02-22,74.169998,72.959999,8683400,49,0
2010-02-23,72.599998,72.040001,11907600,50,1
2010-02-24,72.120003,72.339996,8921000,51,0
2010-02-25,71.190002,72.110001,11761100,52,1
2010-02-26,72.190002,72.300003,8978800,53,1
2010-03-01,72.629997,72.809998,7428100,56,1
2010-03-02,73.18,73.32,9257200,57,0
2010-03-03,73.629997,73.129997,8194200,58,0
2010-03-04,73.07,73.080002,9419900,59,1
2010-03-05,73.550003,74.300003,8750200,60,1
2010-03-08,74.489998,74.639999,6474000,63,0
2010-03-09,74.300003,74.300003,8480100,64,0
2010-03-10,74.139999,73.959999,14652900,65,1
2010-03-11,74.07,73.989998,7024700,66,0
2010-03-12,74.169998,73.720001,7681900,67,0
2010-03-15,73.510002,73.57,8807600,70,1
2010-03-16,73.900002,73.980003,9828300,71,1
2010-03-17,74.18,74.669998,10292000,72,1
2010-03-18,74.849998,74.760002,9916100,73,1
2010-03-19,74.980003,74.980003,16610700,74,0
2010-03-22,74.169998,74.459999,9317900,77,1
2010-03-23,74.43,74.769997,8006700,78,0
2010-03-24,74.269997,73.93,8997600,79,0
2010-03-25,74.400002,73.800003,10510300,80,1
2010-03-26,74.0,74.43,10411500,81,1
2010-03-29,74.610001,75.230003,8818000,84,1
2010-03-30,75.269997,75.300003,6378100,85,1
2010-03-31,75.470001,75.830002,9875500,86,1
2010-04-01,76.400002,76.690002,7859300,87,1
2010-04-05,76.970001,77.660004,8108600,91,1
2010-04-06,77.57,77.879997,6490000,92,0
2010-04-07,77.669998,77.370003,9431400,93,1
2010-04-08,76.93,77.660004,6880500,94,1
2010-04-09,78.040001,79.5,9804100,95,1
2010-04-12,79.5,80.43,10000000,98,0
2010-04-13,80.419998,80.209999,7978500,99,1
2010-04-14,80.459999,80.580002,7290400,100,1
2010-04-15,80.610001,81.589996,9702500,101,0
2010-04-16,81.459999,80.75,12861900,102,1
2010-04-19,80.25,81.32,9335900,105,1
2010-04-20,81.82,82.050003,11470000,106,0
2010-04-21,82.300003,81.919998,9416400,107,0
2010-04-22,81.110001,81.199997,9421100,108,1
2010-04-23,81.040001,82.669998,9918100,109,0
2010-04-26,82.519997,82.589996,9792600,112,0
2010-04-27,82.080002,80.230003,13042800,113,1
2010-04-28,80.620003,80.620003,12115700,114,1
2010-04-29,81.190002,82.290001,12274500,115,0
2010-04-30,82.370003,81.440002,13910300,116,1
2010-05-03,81.959999,82.830002,11650700,119,0
2010-05-04,82.010002,80.760002,16274300,120,0
2010-05-05,79.690002,80.190002,13028600,121,0
2010-05-06,79.410004,77.199997,21059200,122,0
2010-05-07,77.220001,77.099998,21866100,123,1
2010-05-10,79.370003,79.889999,14661800,126,0
2010-05-11,79.639999,79.699997,12018600,127,1
2010-05-12,79.769997,80.059998,9257800,128,0
2010-05-13,79.800003,78.919998,10839600,129,0
2010-05-14,78.419998,77.830002,13602800,130,0
2010-05-17,77.389999,77.730003,14694000,133,0
2010-05-18,78.309998,76.849998,15321500,134,0
2010-05-19,76.349998,76.599998,10773200,135,0
2010-05-20,75.040001,73.599998,17879100,136,1
2010-05-21,72.349998,74.480003,15919100,137,0
2010-05-24,74.220001,73.440002,10540700,140,0
2010-05-25,71.739998,72.57,22304600,141,0
2010-05-26,73.190002,71.550003,16888700,142,1
2010-05-27,73.129997,74.360001,15252900,143,0
2010-05-28,74.0,73.870003,14445500,144,0
2010-06-01,73.559998,72.290001,13966400,148,1
2010-06-02,72.660004,74.129997,15674100,149,0
2010-06-03,74.660004,73.910004,14278800,150,0
2010-06-04,72.150002,71.279999,18133300,151,1
2010-06-07,71.660004,71.349998,12324200,154,0
2010-06-08,71.68,71.019997,16572400,155,0
2010-06-09,71.169998,70.790001,14074500,156,1
2010-06-10,72.870003,74.169998,13937400,157,0
2010-06-11,73.480003,74.059998,8346000,158,1
2010-06-14,74.230003,74.18,11948000,161,1
2010-06-15,74.57,75.230003,11760200,162,0
2010-06-16,74.610001,74.949997,10424400,163,1
2010-06-17,75.019997,75.32,11113500,164,1
2010-06-18,75.470001,75.519997,13680200,165,1
2010-06-21,76.809998,75.720001,9347000,168,0
2010-06-22,75.449997,74.0,10576400,169,0
2010-06-23,73.839996,72.260002,14876400,170,0
2010-06-24,71.800003,70.830002,14188300,171,0
2010-06-25,71.129997,70.059998,20472800,172,0
2010-06-28,70.559998,69.959999,10873900,175,0
2010-06-29,69.199997,68.360001,16421100,176,0
2010-06-30,68.220001,67.860001,12871000,177,0
2010-07-01,68.190002,67.480003,16335700,178,0
2010-07-02,67.790001,67.309998,9143600,179,1
2010-07-06,68.279999,67.559998,15039500,183,1
2010-07-07,67.82,69.449997,15691100,184,1
2010-07-08,70.18,70.410004,13478900,185,1
2010-07-09,70.459999,71.839996,11390300,186,1
2010-07-12,71.529999,71.849998,7352000,189,1
2010-07-13,72.989998,73.230003,13751300,190,0
2010-07-14,73.010002,73.050003,11750500,191,0
2010-07-15,73.230003,73.040001,10507600,192,0
2010-07-16,72.650002,71.5,12060700,193,1
2010-07-19,71.839996,72.0,8350600,196,1
2010-07-20,71.0,73.099998,8922500,197,0
2010-07-21,73.330002,72.169998,9045400,198,1
2010-07-22,72.800003,73.440002,9552500,199,1
2010-07-23,73.279999,73.519997,8426300,200,1
2010-07-26,73.82,74.620003,6467000,203,1
2010-07-27,74.860001,75.300003,8163500,204,1
2010-07-28,75.129997,75.559998,7392400,205,1
2010-07-29,75.889999,76.019997,13346400,206,1
2010-07-30,75.150002,76.209999,16955000,207,1
2010-08-02,77.620003,77.800003,11863000,210,1
2010-08-03,77.919998,78.660004,11788000,211,1
2010-08-04,78.779999,79.019997,8067500,212,1
2010-08-05,78.510002,79.07,9304600,213,0
2010-08-06,78.230003,78.730003,8986800,214,1
2010-08-09,79.300003,79.290001,7015200,217,0
2010-08-10,78.540001,79.040001,8406900,218,0
2010-08-11,77.970001,77.129997,10589700,219,0
2010-08-12,76.410004,77.07,8993100,220,1
2010-08-13,77.040001,77.400002,7087800,221,1
2010-08-16,77.110001,77.709999,7284800,224,1
2010-08-17,77.57,77.769997,7360500,225,0
2010-08-18,77.610001,77.040001,8308800,226,0
2010-08-19,76.720001,75.839996,8870600,227,0
2010-08-20,75.459999,75.050003,9303600,228,0
2010-08-23,75.339996,75.050003,9991400,231,0
2010-08-24,74.269997,73.779999,11261600,232,1
2010-08-25,73.32,74.07,9711900,233,0
2010-08-26,74.370003,73.330002,8176900,234,1
2010-08-27,73.889999,74.93,8789500,235,0
2010-08-30,74.629997,73.779999,7558900,238,1
2010-08-31,73.510002,74.080002,9227500,239,1
2010-09-01,75.360001,76.769997,10549900,240,1
2010-09-02,76.75,77.449997,5995000,241,1
2010-09-03,77.389999,78.0,7189100,242,0
2010-09-07,77.68,77.050003,5880200,246,1
2010-09-08,77.160004,77.25,6940700,247,1
2010-09-09,77.889999,77.360001,6646200,248,1
2010-09-10,78.330002,78.82,8223500,249,1
2010-09-13,79.370003,79.25,8586400,252,1
2010-09-14,79.25,79.510002,8447300,253,0
2010-09-15,79.059998,79.209999,7240700,254,0
2010-09-16,78.989998,79.050003,6905600,255,0
